범죄분류,서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주
상표법,1021 ,303 ,165 ,211 ,69 ,238 ,20 ,5 ,527 ,27 ,54 ,49 ,48 ,30 ,66 ,113 ,21 
석유 및 석유대체연료 사업법,11 ,143 ,22 ,24 ,5 ,18 ,4 ,3 ,63 ,8 ,18 ,25 ,70 ,26 ,23 ,37 ,1 
선박안전법,0 ,715 ,0 ,26 ,0 ,0 ,6 ,0 ,6 ,23 ,0 ,10 ,133 ,55 ,6 ,1100 ,11 
선박직원법,0 ,6 ,0 ,178 ,0 ,0 ,898 ,0 ,1 ,2 ,0 ,255 ,654 ,1251 ,3 ,164 ,402 
성매매알선 등 행위의 처벌에 관한법률,585 ,400 ,70 ,146 ,79 ,46 ,5 ,7 ,1377 ,31 ,46 ,39 ,99 ,54 ,82 ,112 ,43 
수도법,18 ,6 ,7 ,3 ,0 ,11 ,2 ,0 ,47 ,7 ,21 ,4 ,8 ,5 ,8 ,30 ,0 
수산업법,0 ,45 ,0 ,35 ,0 ,0 ,10 ,0 ,30 ,879 ,0 ,49 ,322 ,341 ,12 ,71 ,21 
수산자원관리법,0 ,76 ,1 ,14 ,0 ,0 ,3 ,0 ,29 ,47 ,0 ,91 ,155 ,242 ,167 ,48 ,11 
스토킹범죄의처벌등에관한법률,247 ,60 ,47 ,84 ,19 ,27 ,9 ,2 ,230 ,52 ,25 ,39 ,28 ,30 ,39 ,58 ,28 
식품위생법,1096 ,906 ,145 ,195 ,172 ,95 ,49 ,23 ,979 ,105 ,130 ,265 ,340 ,105 ,143 ,388 ,24 
신용정보의 이용 및 보호에 관한법률,9 ,2 ,4 ,2 ,2 ,0 ,0 ,0 ,7 ,0 ,0 ,1 ,0 ,1 ,0 ,1 ,0 
아동·청소년의 성보호에 관한법률(성매수등),41 ,18 ,17 ,28 ,5 ,15 ,2 ,2 ,91 ,12 ,5 ,8 ,10 ,8 ,54 ,11 ,11 
아동·청소년의 성보호에 관한법률(성착취물등),350 ,101 ,66 ,138 ,30 ,41 ,23 ,12 ,472 ,30 ,42 ,77 ,42 ,65 ,60 ,102 ,21 
아동복지법,2169 ,657 ,447 ,789 ,252 ,446 ,366 ,72 ,3943 ,274 ,364 ,639 ,374 ,414 ,399 ,715 ,259 
액화석유가스의 안전관리 및 사업법,6 ,4 ,7 ,5 ,2 ,4 ,1 ,0 ,29 ,9 ,9 ,13 ,5 ,9 ,20 ,25 ,0 
약사법,239 ,89 ,30 ,67 ,79 ,36 ,6 ,2 ,204 ,8 ,50 ,26 ,24 ,22 ,22 ,26 ,8 
여객자동차 운수 사업법,45 ,9 ,12 ,10 ,11 ,7 ,2 ,1 ,205 ,6 ,1 ,60 ,3 ,6 ,11 ,24 ,5 
여신전문 금융업법,328 ,232 ,86 ,143 ,79 ,80 ,14 ,23 ,382 ,41 ,55 ,77 ,54 ,75 ,71 ,164 ,21 
영유아보육법,18 ,11 ,3 ,9 ,2 ,2 ,2 ,0 ,55 ,3 ,2 ,7 ,6 ,2 ,4 ,9 ,2 
예비군법,34 ,13 ,8 ,43 ,6 ,12 ,6 ,1 ,71 ,7 ,20 ,14 ,3 ,6 ,9 ,16 ,6 
옥외광고물등의 관리와 옥외광고산업진흥에 관한법률,24 ,4 ,3 ,8 ,0 ,4 ,2 ,0 ,54 ,3 ,1 ,4 ,0 ,3 ,2 ,24 ,4 
외국환거래법,90 ,9 ,6 ,89 ,5 ,0 ,3 ,1 ,28 ,0 ,1 ,4 ,0 ,2 ,1 ,5 ,2 
위험물 안전관리법,7 ,6 ,26 ,40 ,5 ,7 ,18 ,1 ,254 ,24 ,26 ,36 ,78 ,23 ,25 ,20 ,0 
유사수신행위의 규제에 관한법률,244 ,39 ,17 ,10 ,19 ,20 ,6 ,0 ,72 ,6 ,20 ,9 ,17 ,8 ,10 ,59 ,2 
의료기기법,119 ,20 ,14 ,12 ,9 ,13 ,2 ,0 ,63 ,5 ,7 ,3 ,5 ,1 ,2 ,10 ,1 
의료법,692 ,214 ,69 ,118 ,113 ,52 ,35 ,11 ,661 ,61 ,52 ,77 ,57 ,54 ,72 ,150 ,20 
자동차관리법,6838 ,3002 ,1595 ,1536 ,1102 ,518 ,327 ,120 ,7042 ,504 ,831 ,905 ,952 ,498 ,869 ,1766 ,112 
자동차 손해배상 보장법,1480 ,1231 ,726 ,1027 ,424 ,362 ,361 ,74 ,4256 ,373 ,910 ,1020 ,1149 ,613 ,1327 ,1166 ,94 
자본시장과 금융투자업에 관한법률,285 ,8 ,16 ,15 ,7 ,7 ,1 ,0 ,69 ,32 ,1 ,4 ,9 ,0 ,4 ,9 ,1 
저작권법,1710 ,442 ,270 ,433 ,129 ,274 ,45 ,43 ,1916 ,133 ,116 ,161 ,143 ,104 ,224 ,329 ,42 
전자금융거래법,1259 ,571 ,323 ,441 ,174 ,282 ,129 ,24 ,1864 ,200 ,192 ,249 ,226 ,203 ,394 ,538 ,125 
전파법,126 ,55 ,39 ,0 ,24 ,22 ,5 ,0 ,4 ,14 ,18 ,1 ,16 ,0 ,972 ,1 ,83 
정보통신망이용촉진 및 정보보호 등에 관한법률,5693 ,1128 ,540 ,1139 ,352 ,467 ,151 ,89 ,5387 ,342 ,380 ,483 ,404 ,388 ,587 ,893 ,228 
조세범처벌법,526 ,118 ,94 ,120 ,72 ,48 ,28 ,8 ,553 ,18 ,50 ,68 ,69 ,43 ,76 ,163 ,7 
주민등록법,291 ,140 ,103 ,108 ,39 ,35 ,18 ,8 ,415 ,36 ,56 ,54 ,75 ,60 ,40 ,108 ,13 
주차장법,34 ,1 ,4 ,1 ,0 ,1 ,2 ,0 ,5 ,0 ,1 ,3 ,0 ,1 ,0 ,1 ,19 
주택법,69 ,66 ,55 ,109 ,23 ,9 ,13 ,4 ,233 ,4 ,24 ,8 ,60 ,50 ,6 ,23 ,4 
직업안정법,26 ,4 ,11 ,2 ,6 ,7 ,2 ,1 ,21 ,3 ,3 ,17 ,3 ,18 ,5 ,16 ,3 
집회 및 시위에 관한법률,175 ,14 ,5 ,8 ,7 ,2 ,10 ,0 ,29 ,11 ,3 ,10 ,2 ,2 ,7 ,20 ,2 
청소년보호법,701 ,299 ,224 ,281 ,198 ,198 ,77 ,40 ,1056 ,157 ,189 ,240 ,240 ,228 ,296 ,522 ,75 
총포·도검·화약류등의 안전관리에 관한법률,86 ,24 ,31 ,17 ,9 ,2 ,3 ,1 ,66 ,12 ,22 ,9 ,21 ,14 ,7 ,10 ,14 
최저임금법,111 ,84 ,79 ,0 ,25 ,0 ,14 ,0 ,171 ,14 ,14 ,32 ,27 ,14 ,33 ,56 ,0 
축산물 위생관리법,40 ,19 ,34 ,18 ,2 ,12 ,2 ,0 ,73 ,3 ,13 ,14 ,11 ,3 ,11 ,27 ,1 
출입국관리법,157 ,69 ,73 ,105 ,39 ,10 ,19 ,2 ,365 ,22 ,72 ,89 ,50 ,78 ,56 ,98 ,42 
통신비밀 보호법,80 ,18 ,12 ,16 ,14 ,10 ,5 ,3 ,49 ,9 ,8 ,10 ,15 ,8 ,15 ,20 ,3 
특가법(도주차량),976 ,573 ,552 ,987 ,279 ,213 ,121 ,22 ,2520 ,250 ,229 ,412 ,293 ,354 ,513 ,448 ,98 
특허법,24 ,2 ,5 ,9 ,0 ,56 ,3 ,0 ,31 ,3 ,1 ,3 ,1 ,1 ,0 ,2 ,1 
폐기물관리법,63 ,64 ,61 ,45 ,39 ,19 ,35 ,1 ,873 ,54 ,115 ,107 ,108 ,93 ,227 ,295 ,7 
풍속영업의 규제에 관한법률,19 ,7 ,3 ,6 ,0 ,2 ,1 ,0 ,24 ,0 ,1 ,0 ,0 ,0 ,0 ,3 ,0 
하천법,3 ,333 ,0 ,0 ,1 ,2 ,8 ,0 ,56 ,32 ,6 ,2 ,12 ,2 ,1317 ,21 ,0 
학교보건법,1 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
학원의 설립운영 및 과외교습에 관한법률,68 ,28 ,39 ,12 ,4 ,30 ,3 ,1 ,85 ,5 ,3 ,13 ,6 ,29 ,14 ,34 ,6 
화물자동차 운수 사업법,295 ,58 ,34 ,72 ,16 ,33 ,17 ,4 ,2344 ,20 ,16 ,22 ,23 ,34 ,15 ,68 ,8 
화재로 인한 재해보상과 보험가입에 관한법률,0 ,1 ,2 ,6 ,0 ,1 ,1 ,0 ,4 ,1 ,6 ,12 ,1 ,2 ,1 ,1 ,0 
화재예방·소방시설설치유지 및 안전관리에 관한법률,67 ,16 ,12 ,53 ,17 ,4 ,8 ,1 ,187 ,16 ,12 ,45 ,37 ,10 ,7 ,25 ,0 
화학물질관리법,152 ,12 ,14 ,33 ,39 ,19 ,70 ,0 ,134 ,14 ,25 ,10 ,7 ,10 ,4 ,67 ,2 
기타특별법,7145 ,5487 ,1208 ,6135 ,830 ,923 ,1516 ,145 ,9669 ,3140 ,1270 ,1987 ,2949 ,6895 ,3750 ,4707 ,700 
